,comments,sentiment,types
22,"less explanation in github which quite hard to follow for the one who doesn't familiar with jupyter, tensorflow, python",pos,เข้าใจมากขึ้น
23,เรียนสนุก เนื้อหาแน่น พอมองเห็นถาพ,pos,ชมบ้างติบ้าง
24,ชอบ,pos,เข้าใจมากขึ้น
25,ทำให้รู้ว่าการออกแบบ หรือระบบเป็นยังไง,pos,เข้าใจมากขึ้น
26,อธิบายเข้าใจดีครับ,pos,เข้าใจมากขึ้น
28,คนที่สนใจงานด้านนี้ควรเข้ามาฟัง,pos,เข้าใจมากขึ้น
29,รู้ว่าData Scientist คืออะไร ใช้ทำอะไรในองค์กร,pos,ชมบ้างติบ้าง
30,อธิบายเก่งดีค่ะ แต่ตรงช่วงคำถามมันจะแบบ คะ...? เพราะอาจจะพูดเร็วด้วย ละพูดเยอะด้วย แต่เนื้อหาที่ไม่ได้ตั้งใจฟังเท่าไหร่กลับเอามาถาม แต่โชคดีค่ะที่ตั้งใจเรียน ตอบได้ตอบถูกหมดเลย,pos,ชมบ้างติบ้าง
31,5 ทำให้เข้าใจการทำงานของ chatbot มากขึ้น เพื่อนำไปใช้ในการทำงานจริงได้,pos,สามารถนำไปใช้
32,This course is basic LINE Chatbot. It's ok for beginner study.,pos,เข้าใจมากขึ้น
33,เนื้อหาดี ผู้สอนถ่ายทอดความรู้ได้ดี เข้าใจง่าย ขอบคุณมากค่ะ,pos,ชอบมาก
35,ผู้สอนเรียบเรียงเนื้อหาทำให้เข้าใจง่ายครับ,pos,เข้าใจมากขึ้น
39,ถ่ายทอดดี เข้าใจง่ายค่ะ,pos,สอนดี
40,แนะนำให้มาเรียนเลยครับ,pos,แนะนำคอร์ส
41,ได้ความรู้ดี เข้าใจง่าย กระชับ,pos,เข้าใจมากขึ้น
42,สอนง่ายเข้าใจเร็ว,pos,เข้าใจมากขึ้น
43,เข้าใจง่ายมากครับ,pos,เข้าใจมากขึ้น
45,ดีมากกก,pos,สอนดี
46,ดีมาก,pos,สอนดี
47,5,pos,เข้าใจมากขึ้น
48,สอนได้ดีมากๆ เลยครับ เรียนรวดเดียว จบภายในวันเดียว แนะนำเลยครับ แต่ละคลิปไม่ยาวไม่สั้นเกินไป ดูรอบแรกให้เข้าใจทั้งหมดก่อน แล้วค่อยมานั่งเก็บรายละเอียดทีหลัง,pos,สอนดี
49,เนื้อหาเข้าใจง่ายมาก จากที่ไม่รู้เรื่อง LIFF เลยว่ามันทำงานอย่างไร ได้เรียนคอร์สนี้ซึ่งเป็นพื้นฐานที่ดีมาก ทำให้อยากเรียนคอร์สที่เกี่ยวกับ LIFF ต่อเลยครับ,pos,ชมบ้างติบ้าง
50,คอร์สนี้ดีผู้บรรยายสอนลำดับทำให้เข้าใจได้กว่าที่คิดมาก เยี่ยม,pos,สอนดี
51,ทำให้เข้าใจภาพรวมที่จะนำไปประยุกต์กับงานของตนเองได้,pos,เข้าใจมากขึ้น
53,อธิบายง่าย ภาพประกอบชัดเจน,pos,ชัดเจนเห็นภาพ
54,นักพัฒนา LIFF ควรดูครับ,pos,เข้าใจมากขึ้น
55,cool,pos,เข้าใจมากขึ้น
56,"Good foundation for SQL for beginner with detailed explanation and encouragement to give yourself a try. Quite difficult in the middle part onwards, but provides many exercises for practicing. Still recommended.",pos,เข้าใจมากขึ้น
58,เนื้อหาของส่วน Basic SQL มี command ให้เลือกใช้เยอะมาก ปกติตอนเรียนในห้องจะไม่ได้มี command ตรง select เยอะขนาดนี้ ปกติจะไปเน้นที่ where แต่คอร์สนี้มี command ให้ดูเยอะมาก,pos,ชอบมาก
59,เป็นคอร์สที่เหมาะสำหรับผู้เริ่มต้นเรียนรู้และฝึกทักษะการเขียน SQL เนื้อหาโดยรวมรวบรัดและเหมาะสมดีครับ สนุกกับการลองเขียนโค้ด(แบบฝึกหัด) ในแต่ละบทเรียน ผิดบ้างถูกบ้าง แต่ก็ทำให้สนใจอยากเรียนรู้และฝึกเขียนต่อครับ,pos,ชมบ้างติบ้าง
60,เนื้อหา และ ตัวอย่าง ดีกว่าคอร์ส SQL อื่นๆ ที่เคยเรียนมา เหมือนตั้งใจแบบว่าให้เรียนแล้วสามารถนำไปใช้ได้เลย,pos,ชมบ้างติบ้าง
61,"เข้าใจง่าย นำไปใช้ต่อได้จริง
ข้อความมีผิดอยู่บ้าง แต่เป็นในแง่ตัวสะกดต่าง ๆ ยังไม่กระทบต่อเนื้อหาหลัก",pos,สามารถนำไปใช้
63,ดร.ต้าสอนดี ใช้ภาษาที่ง่าย เครื่องมือแบบฝึกหัดทำใด้ดี เหมาะกับคนไม่มีพื้นฐานมาก่อน แนะนำค่ะ,pos,สอนดี
64,ได้เรียนรู้เกี่ยวกับพื้นฐานทั้งหมดเลยครับ สามารถเริ่มต้นจาก 0 จนถึงการใช้งานแบบจริงๆได้,pos,แนะนำคอร์ส
65,เหมาะกับผู้ที่ต้องการเข้าใจพื้นฐานการเขียน SQL เพื่อนำไปศึกษาต่อเพิ่มเติม,pos,แนะนำคอร์ส
68,สอนเข้าใจง่าย มีระบบให้ได้ลองทำ ทำให้เข้าใจและทำได้จริงง่ายขึ้นกว่าเดิมครับ,pos,เข้าใจมากขึ้น
69,เป็นคอร์สเรียนที่เหมาะกับการทำงานในปัจจุบันมาก,pos,ชอบมาก
70,หัวข้อของบทเรียนดีมากครับ คาดว่าน่าจะได้นำไปใช้ในการทำงาน,pos,สามารถนำไปใช้
71,ให้กำลัังใจดีมากครับ กำลังจะท้อแล้วเชียวว,pos,สอนดี
72,ยากจัง ต้องดูซ้ำๆหลายๆรอบ,pos,เข้าใจมากขึ้น
73,เป็นคอสที่ดีครับ,pos,สอนดี
74,ดีมากค่ะ,pos,สอนดี
75,ตอบโจทย์เรื่องการปูพื้นฐานสำหรับผู้เริ่มต้นใช้งาน Power BI มากเลยครับ ชอบส่วนที่เป็นแบบฝึกหัดที่มีเพื่อให้เราได้กลับไปฉุกคิด และทบทวนบทเรียนที่ผ่านมา ถ้าให้ดีอาจจะมีส่วนที่เป็นโปรเจ็คเพิ่มเติม ผมคิดว่าน่าจะได้ลองนำไปใช้ดูนะครับ,pos,ชมบ้างติบ้าง
76,อธิบายละเอียด และค่อยเป็นค่อยไปดีมากครับ แนะนำเลยครับสำหรับคนเริ่มต้น ถ้าใครเรียนคอร์ส Excel มาก่อนด้วยก็จะดีครับ เพราะสองโปรแกรมนี้มักเชื่อมโยงกัน และจะเห็นภาพมากขึ้นเมื่อเรียน Power Bi,pos,แนะนำคอร์ส
77,เป็นคอร์สสอน Powe BI ที่ทำให้รู้สึกว่าการเริ่มใช้งาน Power BI ไม่ได้ยากอย่างที่คิด และทำให้รู้สึกว่าสามารถนำไปต่อยอดได้ง่ายมากขึ้น,pos,ชมบ้างติบ้าง
78,ดีมากครับ  เหมาะสำหรับผู้เริ่มต้นสนใจ ทำ Data Visualization โดยใช้ Power BI  หรือคนที่อยากทบทวนความรู้พื้นฐาน  ให้ฐานแน่นขึ้น,pos,แนะนำคอร์ส
79,เป็นคอร์สที่ดีมาก ละเอียด มีประโยชน์กับคนที่ทำงานแล้วใช้ Power BI อยู่แล้วจะดีมากๆเพราะสามารถต่อยอดได้,pos,สอนดี
80,เป็นครอสสอนการใช้งาน Power BI ในระดับเริ่มต้นได้อย่างครอบคลุมและง่ายต่อการที่เริ่มเรียนรู้อะไรใหม่ๆ,pos,แนะนำคอร์ส
81,เหมาะกับคนที่ไม่มีพื้นฐานด้าน BI มาก่อน ก็สามารถเข้าใจได้ง่าย อธิบายฟังก์ชันการใช้งานต่างๆครบถ้วน,pos,แนะนำคอร์ส
82,เป็นไปตามขั้นตอนที่ควรจะเรียนรู้ โดยเริ่มจากเครื่องมือที่ต้องใช้ ไปจนถึงวิธีคิดที่จะได้ผลลัพธ์,pos,ชมบ้างติบ้าง
83,เป็นคอร์สที่สอนตั้งแต่เริ่มต้นติดตั้งโปรแกรมและอธิบายเครื่องมือต่างๆ อย่างละเอียด พร้อมกับมีไฟล์ให้ฝึกฝนเพื่อความเข้าใจ และมีประโยชน์มากค่ะ,pos,แนะนำคอร์ส
84,สามารถapply สิ่งที่เรียนไปใช้ได้จริงเกิดประโยชน์มากในการช่วยวิเคราะห์ข้อมูลปริมาณมากๆ,pos,สามารถนำไปใช้
85,มีประโยชน์สำหรับมือใหม่ หรือผู้เริ่มต้นเรียนเป็นอย่างมาก เนื้อหาและการสอนที่เข้าใจง่าย นำไปสู่การใช้ประโยชน์ได้ดีเลยทีเดียว,pos,แนะนำคอร์ส
86,เหมาะกับคนเริ่มต้น จะ ถึงขึ้นที่เริ่มทำ วิเคราะห์ข้อมูลได้ ดี,pos,แนะนำคอร์ส
87,เหมาะสำหรับคนที่ต้องการพื้นฐานการใช้งาน ง่ายต่อการนำไปต่อยอด,pos,แนะนำคอร์ส
90,ได้ทราบเทคนิคต่าง ๆ นำมาปรับใช้ในงาน ได้ประโยชน์มากค่ะ,pos,ชอบมาก
91,แนะนำให้เรื่อง เข้าใจงาน มีตัวอย่างให้ทดลองทำ เพื่อไปปรับใช้กับงานปัจจุบันที่ทำอยู่,pos,เข้าใจมากขึ้น
93,สั้น กระชับ ดีมาก คาดว่าสามารถนำไปทำแดชบอร์ดได้จริง,pos,สามารถนำไปใช้
95,ดีค่ะ แต่พอนั่งดูเฉย ๆ แล้วทำให้ลืมง่าย ถ้ามีโอกาสปฏิบัติตามด้วยจะดีมาก,pos,ชมบ้างติบ้าง
99,เป็นหบักสูตรที่ดี ได้ค้นหา รวบรวมและวิเคราะห์ข้อมูล,pos,สอนดี
100,ถ้าต้องการเน้นพื้นฐาน แนะนำให้เรียนคอร์สนี้เลยครับ,pos,แนะนำคอร์ส
101,เนื้อหาน้อยเกินไป สำหรับที่จะนำไปใช้งานได้จริง สำหรับคนที่เริ่มต้น,pos,สามารถนำไปใช้
104,คอร์สเขียนเรียน4ถึง6ชั่วโมง เวลาเรียนจริงประมาณ2ชั่วโมง,pos,สามารถนำไปใช้
105,กดฟังเปลี่ยนคลิปบ่อยเกินไป,pos,เข้าใจมากขึ้น
108,สุดยอดมากๆค่ะ,pos,ชอบมาก
109,เข้าใจง่ายละเอียดดี,pos,สอนดี
110,น่าเรียนมาก,pos,ชอบมาก
111,เข้าใจง่าย,pos,เข้าใจมากขึ้น
112,Good,pos,เข้าใจมากขึ้น
113,4,pos,เข้าใจมากขึ้น
114,อาจารย์ช่วยเปิดมุมมองการนำข้อมูลมาเป็นส่วนหนึ่งของการออกแบบผลิตภัณฑ์ รวมถึงแชร์ประสบการณ์จริง ทำให้เห็นภาพของการทำงานร่วมกันหลายฝ่าย ข้อดีและข้อควรระวังของการใช้ข้อมูล,pos,สามารถนำไปใช้
116,ได้ความรู้เพื่มเติมเกี่ยวกับ UX researcher รวมทั้งภาพประกอบที่ทำให้เห็นถาพมากขึ้น,pos,เข้าใจมากขึ้น
117,เป็นคอร์สที่ทำให้คนที่ไม่ได้เรียนสายนี้ได้เห็นอะไรใหม่ๆ มีมุมมองที่กว้างขึ้นค่ะ,pos,ชมบ้างติบ้าง
118,เหมาะสำหรับผู้เริ่มต้นหรือผู้ที่สงสัยว่าศาสตร์นี้คืออะไร ทำงานยังไง,pos,ชมบ้างติบ้าง
119,ได้ความรู้แน่นมาก เป็นประโยชน์ต่อการนำไปปรับใช้ในอนาคตได้,pos,ชอบมาก
120,ได้ทราบแนวคิดการนำ data ไปใช้วิเคราะห์ในสถานการณ์จริง,pos,สามารถนำไปใช้
121,สรุปได้ดีเยี่ยม เข้าใจง่าย นำไปปรับใช้ได้ดี,pos,เข้าใจมากขึ้น
122,สอนทีละสั้นๆ ใช้เวลาไม่นาน เห็นภาพชัดเจน,pos,ชัดเจนเห็นภาพ
123,ทำคอร์สดีๆแบบนี้อีกนะคะ รอติดตามนะคะ,pos,เข้าใจมากขึ้น
124,เป็นประโยชน์มากได้เข้าใจข้อมูลมากขึ้น,pos,ชอบมาก
126,สนุก น่าสนใจ,pos,เข้าใจมากขึ้น
127,ดีมากกกกเลย,pos,สอนดี
128,ระบบเน็ตแย่มาก,pos,เข้าใจมากขึ้น
129,5 ดาว,pos,เข้าใจมากขึ้น
130,"เนื้อหาดีเข้าใจง่าย มีแบ่งเป็นคลิปให้สามารถดูได้ว่าถึงไหนแล้ว มี peer pressure จาก % ที่เรียนไปถึงไหน 55555

แต่อยากเพิ่มเติมว่า อยากให้อัพเดท example หน่อยค่ะ เพราะแค่ของ fb ตอนนี้ interface ก็ไปไกลมากแล้ว อยากให้อัพหน่อย เพราะปัจจุบันก็มีเคสน่าสนใจเกิดขึ้นเพิ่มค่า ขอบคุณมากค่ะ",pos,ชมบ้างติบ้าง
131,อาจารย์บรรยายดี ไม่น่าเบื่อ มีการเเบ่งหัวข้อชัดเเจนเเละมีการทำGoalsให้เราProactiveเรื่อยๆ เป็นกันเองมากๆเเม้จะเป็นการเรียนออนไลน์ เเนะนำมากๆค่า,pos,ชอบมาก
132,best introduction to data science with overview and example which are easy to follow and get the  whole idea of data science,pos,เข้าใจมากขึ้น
133,ใครยังไม่รู้ว่า DATA SCIENCE คืออะไร เค้าทำงานยังไง คอร์สนี้บอก SCOPE ของงานได้ชัดเจน ตัวอย่างเยอะมากๆ เข้าใจง่ายค่ะ,pos,ชมบ้างติบ้าง
134,ช่วยปูพื้นฐานความเข้าใจเรื่อง data science ได้ดีมากครับ เหมาะสำหรับคนที่อาจจะอยากรู้จักงาน data science ให้มากขึ้น,pos,เข้าใจมากขึ้น
136,Slide อ่านง่าย เข้าใจง่าย อ.วิโรจน์พูดชัดเจนไม่สะดุด แบ่งหัวเรื่องและ Timestamp ชัดเจน ง่ายต่อการกดดูกลับไปกลับมา,pos,ชัดเจนเห็นภาพ
137,เป็นการปูพื้นของการเป็น data scientist ที่ดีเลยครับ สำหรับใครที่กำลังจะเข้ามาด้านนี้ คอร์สนี้ถือว่าเหมาะเลยครับ,pos,แนะนำคอร์ส
138,เหมาะสำหรับคนที่อยากรู้ว่า Data science คืออะไร งานที่ทำคืออะไร ทำอะไรให้บริษัทได้บ้าง ถ้ารู้อยู่แล้ว แต่อยากรู้ว่าเริ่มทำยังไง 1 2 3 อันนี้ไม่เหมาะ,pos,ชมบ้างติบ้าง
139,ชอบอาจารย์วิธีการสอนของอาจารย์ต้ามากครับ ทุกๆครั้งจะมีการสรุปปิดท้ายทำให้เข้าใจแบบจริงๆ,pos,เข้าใจมากขึ้น
140,เนื้อหาเข้าใจง่าย และวิธีการแบ่งแต่ละ section ดีมาก เพราะทำให้รู้สึกว่าไม่เยอะเกินไป,pos,ชมบ้างติบ้าง
141,คอร์สดี แต่เพื่อความเชี่ยวชาญ ต้องทบทวนหรือฟังหลายๆรอบและลองทำจริงถ้ามีโอกาส,pos,ชมบ้างติบ้าง
144,ได้เข้าใจมุมมองที่กว้างและครอบคลุมมากขึ้นสำหรับ data scientist และส่วนประกอบที่เกี่ยวข้องอื่น ๆ มากขึ้น,pos,เข้าใจมากขึ้น
145,มีตัวอย่างประกอบเนื้อหา ทำให้สามารถเห็นภาพ และเข้าใจได้ง่ายขึ้นค่ะ,pos,เข้าใจมากขึ้น
146,ช่วยให้มองภาพรวมของการทำงานเป็น Data Scientist ได้ชัดเจนขึ้นมาก,pos,ชัดเจนเห็นภาพ
147,ได้เห็นภาพรวมของ ประโยชน์ของ Data และการนำไปใช้ ของ Data Science,pos,เข้าใจมากขึ้น
148,"อยากดูตัวอย่างการทำงานจริงของ data science แล้ว tool ที่ใช้
กับบริษัทในไทย หรือ simulate company มา",pos,สามารถนำไปใช้
149,คอร์สดีครับ ทำให้เข้าใจภาพรวมของ data science process มากขึ้น,pos,เข้าใจมากขึ้น
150,ได้แนวคิด และการจัดการขั้นตอนกระบวนการ การวิเคราะห์ข้อมูล,pos,เข้าใจมากขึ้น
151,ฮธิบาย ยกตัวอย่าง จากสิ่งที่เข้าใจยาก ให้เข้าใจง่ายขึ้น,pos,เข้าใจมากขึ้น
152,ถ้าต้องการเป็น Data Sci ยังไงก็ต้องคอร์สนี้เลย ปูทาง,pos,ชมบ้างติบ้าง
153,สามารถนำความรู้ไปประยุกต์ใช้กับงานที่ปฏิบัติอยู่ได้,pos,สามารถนำไปใช้
154,เข้าใจบทบาทของ Data Science มากกว่าที่เคยรู้มาอีก,pos,เข้าใจมากขึ้น
155,เป็นการเปิดมุมมองใหม่ด้าน data science ที่ดีครับ,pos,สอนดี
156,คอร์สนี้อธิบายให้เห็นภาพและเข้าใจง่ายมากครับ,pos,เข้าใจมากขึ้น
157,เข้าใจง่าย เหมาะกับคนที่ยังไม่ค่อยมีความรู้ว่า Data Science คืออะไร,pos,ชมบ้างติบ้าง
158,คอร์สออนไลน์นี้ดีมากๆ ได้ความรู้เพิ่มเติม,pos,สอนดี
159,ได้แนวทางใหม่ๆเยอะ ดูมีแนวโน้มในอนาคตด้วย,pos,เข้าใจมากขึ้น
160,ทำให้เห็นภาพ Data worker มากขึ้นครับ,pos,เข้าใจมากขึ้น
161,ให้ข้อมูลและความรู้ที่เห็นภาพชัดเจน,pos,ชัดเจนเห็นภาพ
162,แนะนำพื้นฐานได้ครอบคลุม แต่ว่าตัวอย่างแอบเก่าไปนิดนึงๆ,pos,แนะนำคอร์ส
163,สอนเข้าใจง่าย คลิปไม่ยาว กำลังพอดี,pos,เข้าใจมากขึ้น
165,ได้รับความรู้ดี สรุปเห็นภาพของ Data science ได้ชัดเจน,pos,ชัดเจนเห็นภาพ
166,ได้ทำความความเข้าใจเบื้องต้นเกี่ยวกับ data science,pos,เข้าใจมากขึ้น
168,ให้เห็นภาพกว้างของ Data science,pos,เข้าใจมากขึ้น
169,ดีขึ้นได้มีการแนะนำในด้านต่างๆ,pos,แนะนำคอร์ส
170,เนื้อหาชัดเจน เข้าใจง่ายดีค่ะ,pos,ชัดเจนเห็นภาพ
172,เข้าใจง่าย เรียนสะดวกสบายมาก,pos,เข้าใจมากขึ้น
173,กระชับ เข้าใจง่าย บรรยายดี,pos,สอนดี
174,ให้ความรู้ชัดเจนดีมากครับ,pos,ชัดเจนเห็นภาพ
175,หลักการเรียนดีเกินคาดมาก,pos,สอนดี
176,อธิบายชัดเจน เข้าใจง่าย,pos,ชัดเจนเห็นภาพ
177,ได้รับความรู้เยอะมากค่ะ,pos,ชอบมาก
178,เปิดโลกให้ตัวเองได้เลย,pos,เข้าใจมากขึ้น
180,ดีมากพูดเนื้อหาได้ดี,pos,สอนดี
181,ได้ความรู้เยอะมากกก,pos,ชอบมาก
182,ลองมาเรียนค่ะ เปิดโลกดี,pos,สอนดี
183,เข้าใจง่ายไม่ซับซ้อน,pos,เข้าใจมากขึ้น
184,Can improve,pos,เข้าใจมากขึ้น
185,Goodddd,pos,เข้าใจมากขึ้น
186,5ดาว,pos,เข้าใจมากขึ้น
187,ดี,pos,สอนดี
188,คอร์สนี้สอนให้เข้าใจหลักการเบื้องต้นในการทำ Dashboard ที่ดี เข้าใจง่าย ตรงกับความต้องการของ User ช่วยปูพื้นฐานที่ดีสำหรับการเรียนรู้การใช้ Tools ต่างๆในการทำ Dashboard เช่น Power BI ต่อไป  และเช่นเคยครับ จังหวะ และวิธีการอธิบายของอาจารย์ ทำให้เข้าใจเนื้อหา รวมทั้งเหตุผล ที่มาที่ไปของเรื่องที่เรียน ชอบครับ,pos,แนะนำคอร์ส
189,โดยรวมก็โอเคนะ รู้สึกหลายอย่างมันcommon sense เคสที่นำมาให้ดูก็น่าสนใจ แต่รู้สึกว่าคอร์สนี้ไม่ค่อยมีinteraction เลยทำให้เนื้อหาใหม่ค่อยติดอยู่ในหัวเท่าไหร่ เวลากลับมาดูก็เข้าใจ แต่ไม่ค่อยมีจุดไหนที่stand outและทำให้recallให้เอาไปใช้ในสถานการณ์จริง quizรู้สึกง่ายไป เหมือนlistening comprehensionมากกว่าการที่จะต้องมาคิดวิเคราะห์คำตอบ โดยร่วมเป็นคอร์สที่relaxดีแต่ถ้าเกิดพูดเรื่องvalueที่ได้กลับมา อาจรู้สึกว่าความรู้ก่อนเรียนกับหลังเรียนไม่ได้มีการupskillมากนัก,pos,ชมบ้างติบ้าง
190,ทำให้เข้าใจในการออกแบบทำกราฟมากขึ้นกว่าเดิมเปลี่ยนมุมมองการทำกราฟแบบเดิมๆทำให้เข้าใจว่าคำถามที่เราคิดขึ้นมาควรใช้กราฟแบบไหนในการตอบคำถามของเรา,pos,เข้าใจมากขึ้น
191,เข้าใจมากขึ้นสำหรับความแตกต่างของการเลือกใช้ รูปแบบต่าง ๆ ในการนำเสนอผลการวิเคราะห์ข้อมูล ที่ทำให้ผู้อ่านเข้าใจถูกต้อง,pos,เข้าใจมากขึ้น
192,อธิบายและยกตัวอย่างเข้าใจง่ายมากๆ การแบ่งคลิปเป็น session เล็กๆทำให้ข้อมูลไม่ overload มากเกินไป แต่อยากให้ผู้สอนแชร์ Handout เพื่อจะได้จดสรุปง่ายและเห็นตัวอย่างชัดเจนขึ้น,pos,ชัดเจนเห็นภาพ
194,เห็นภาพ framework ในการทำ dashboard ได้ชัดเจนและได้ key word ในการหาความรู้ด้วยตัวเองต่อไปได้,pos,ชัดเจนเห็นภาพ
195,อธิบายได้เข้าใจง่าย พร้อมประกอบการยกตัวอย่าง คนไม่มีพื้นฐานก็สามารถเรียนได้เข้าใจ,pos,แนะนำคอร์ส
196,จริงๆ อาจารย์ผู้ถ่ายทอด สอนดีมากๆๆๆๆๆๆๆๆๆๆ แต่ติดนิดนึง ตรงยกตัวอย่าง ไม่มีข้อมูล EXAMPLE มาโชว์ มันเลยยังเห็นภาพไม่สุด,pos,สอนดี
197,เป็นความรู้ที่ดีมากสามารถนำไปต่อยอดในการทำธุรกิจหรือทำประโยชน์ต่างๆได้,pos,สามารถนำไปใช้
198,เป็นพื้นฐานความรู้ที่ดีมาก สามารถนำไปค่อยๆปรับใช้กับการทำงานได้เลย,pos,สามารถนำไปใช้
199,เป็นคอร์สที่ดีมีประโยชน์เหมาะอย่างยิ่งสำหรับในยุคปัจจุบัน,pos,สอนดี
200,น่าจะทำใหเห็นภาพรวม และ พอนึกถึงการนำไปใช้ได้ดี,pos,เข้าใจมากขึ้น
201,ได้มุมมองใหม่ๆไปปรับใช้ได้เยอะและดีครับ,pos,สอนดี
202,มีเนื้อหาที่สามารถนำไปใช้ได้จริง !!!,pos,สามารถนำไปใช้
204,เข้าใจ ชัดเจน เห็นภาพ จำไปใช้ได้,pos,ชัดเจนเห็นภาพ
205,เข้าใจง่าย ตัวอย่างตรงประเด็น,pos,เข้าใจมากขึ้น
206,ดีตรงดูได้เรื่อยๆ แต่ Quiz น้อยไปนิด,pos,สอนดี
207,ได้รู้หลักการทำ dashboard หลายๆแบบ,pos,เข้าใจมากขึ้น
208,ดีค่ะ บอกจุดพลาดมีเคส,pos,สอนดี
209,คอร์ส Ok ค่ะ,pos,แนะนำคอร์ส
212,เป็นคอร์สที่เปิดมุมมองความคิด และทำให้เราเห็นภาพมากขึ้น และชอบที่มีการคั่นด้วยแบบฝึกหัดทำให้เราได้คิดจริงในขณะที่กำลังเรียนอยู่,pos,เข้าใจมากขึ้น
213,เนื้อหาหลายวิดีโอ แต่เป็นวิดีโอสั้น รู้สึกว่ามันทำให้บทเรียนดูยาวมากกว่าเดิม ชอบแบบให้วิดีโอยาวทีเดียวเป็นเรื่องๆ 1 วิดีโอ 1 หัวข้อหลักไปเลยค่ะ แต่คนสอนดี อธิบายเข้าใจค่ะ,pos,ชมบ้างติบ้าง
214,ได้ความรู้ในมุมกว้างทีสามารถส่งต่อให้คนรอบข้างหรือแนะนำในการเรียน แนะนำการเรียนรู้ได้มากขึ้นและเข้าใจมากขึ้น,pos,เข้าใจมากขึ้น
215,ชอบตัวอย่างต่าง ๆ ที่ยกมาประกอบในแต่ละขั้นตอน ทำให้เห็นภาพการใช้งาน design thinking มากขึ้น,pos,เข้าใจมากขึ้น
216,เป็นการแนะนำที่เข้าใจมากๆและสามารถนำไปใช้ได้จริงทั้งธุรกิจและใช้ดำเนินการแก้ไขปัญหาได้จริง,pos,สามารถนำไปใช้
217,Very helpful usage of examples and easy to apply to any project.,pos,เข้าใจมากขึ้น
218,เป็นคอร์สที่สะดวกง่ายต่อการใช้งานมาก และเข้าใจได้ง่าย,pos,ชอบมาก
219,ทำให้เราพํฒนากระบวนการคิดและสร้างสรรค์งานได้มากขึ้น,pos,เข้าใจมากขึ้น
220,Better to use one innovation as an example from empathy to test. This will totally help to understand the whole process of design thinking.,pos,เข้าใจมากขึ้น
222,ได้กระบวนการคิดที่เป็นระบบมากขึ้น,pos,เข้าใจมากขึ้น
223,คิดว่ามันมีประโยชน์มากต่อสมอง,pos,ชอบมาก
225,มีความรู้มากขึ้นมากค่ะ,pos,ชอบมาก
227,ดีมากครับ,pos,สอนดี
228,เยี่ยม,pos,เข้าใจมากขึ้น
