,comments,sentiment,types
96,คือเนื้อหาดีมาก แต่ฝึกทำตามลำบาก ไม่คุ้นเคยกับโปรแกรม เรียนรู้ช้า แต่ยอมรับว่าเนื้อหามีประโยชน์สำหรับผู้ที่ฝึกใช้ได้บ่อย ๆ,neg,แต่และอื่นๆ
97,เป็นโปรแกรมที่มีรายละเอียดมาก และผู้สอนสอนเร็วในระยะเวลาจำกัด เนื้อหาจึงรวบรัด นำไปใช้ได้ในระดับเบื้องต้น,neg,แต่และอื่นๆ
98,ตอบคำถามช้า 3 วันแล้วยังไม่ได้คำตอบเลย,neg,ไม่
102,ดีแต่อาจจะเนื่อยๆหน่อย,neg,แต่และอื่นๆ
103,อยากให้เพิ่มคำอธิบายให้ละเอียดขึ้น,neg,อยาก
106,โดยส่วนตัวมองว่า ทักษะการนำเสนอเเละสื่อสารของผูัสอนยังคงขาดรายละเอียดที่จะสามารถดึงดูดความสนใจของผู้เรียนให้สนใจการเรียนในคอร์สนี้ เสียงตลอดกหารสอนเป็นโทนเดียวกันทั้งหมด ทำให้ค่อนข้างขาดความน่าสนใจ เเละเนื้อหาที่สอนค่อนข้างวนไปมา ทำให้ผู้เรียนรู้สึกสับสนบ้างในบางครั้ง เนื่องจากการเรียงลำดับเนื้อหายังไม่ดีมากพอ เมื่อเทียบกับผู้สอน/คอร์สอื่น ๆ ที่มีความใกล้เคียงกัน,neg,แต่และอื่นๆ
107,คนสอน สอนเข้าใจยาก เหมือนท่องหนังสือมาสอน อ่านหนังสือเองแล้วทำตามเองอาจจะเขช้าใจง่ายกว่าอีก,neg,แต่และอื่นๆ
115,สั้นกระชับดี อยากให้เพิ่ม bonus section มี case study อื่นๆมากกว่านี้  / อยากให้มี cheat sheet checklist สรุป ไว้ทบทวน,neg,อยาก
125,ไม่ได้สอนจริงๆ เหมือนแค่มาบอกว่ามีแบบนี้นะๆ,neg,ไม่
135,Data Scientist ไม่ใช่วิชายาก หรือไกลตัว ถ้าอยู่ในยุคการทำงานปัจจุบัน 2022 เข้าใจ และตอบโจทย์การทำงานปัจจุบันได้ดี,neg,ไม่
142,เป็นการทำความรู้จัก Data Science เบื้องต้น เหมาะสำหรับคนที่ไม่เคยมีความรู้มาก่อน เพื่อมาเรียนรู้แนวคิดหลักๆของศาสตร์นี้ ไม่เหมาะกับผู้มีพื้นฐาน หรือคาดหวังว่าจะได้เรียนรู้การวิเคราะห์ข้อมูลแบบเป็นรูปธรรม,neg,ไม่
143,ได้รู้ในสิ่งที่ยังไม่เคยรู้จักมาก่อน เป็นการเปิดประสบการณ์ใหม่มาก👍🏻,neg,ไม่
164,ภาพรวม ok อยากให้เพิ่มตัวอย่าง update สำหรับ ปัจจุบัน,neg,อยาก
167,คิดว่าพื้นฐานเกินไป แต่มีข้อมูลดีๆอยู่บ้าง เช่น process การทำงาน หรือพูดเกี่ยวกับ metric,neg,แต่และอื่นๆ
171,เข้าใจ Data Science มากขึ้นแต่ยังไม่เต็มอิ่ม,neg,แต่และอื่นๆ
179,คอร์สนี้ทำให้ได้เรียนรู้ได้มาก นำไปใช้ในชีวิตประจำวันได้เลยคะ,neg,แต่และอื่นๆ
193,"ได้เห็นไอเดียว่าควรทำอย่างไรบ้างตั้งแต่เริ่ม get requirement 
สิ่งที่อยากให้มีเพิ่มคืออยากให้สามารถ download presentation ได้ และอยากให้มีโจทย์ให้คิดมากกว่านี้",neg,อยาก
203,เป็นคอร์ดที่น่าสนใจและต้องเรียนรู้,neg,แต่และอื่นๆ
210,คิดว่าสอนขั้นตอนตามกระบวนการของ design thinking ได้ค่อนข้างะเอียดเลยค่ะ สามารถเรียนได้เพลิน ๆ โดยที่ไม่รู้สึกว่าข้อมูลมันหนักหรือว่าอัดเกินไป อยากให้เเนบเป็นเชิงของตัว tools หรือ references หรือมีguide สำหรับหลังเรียนจบมากกว่านี้ พอเวลาผ่านไปจะได้ย้อนกลับมาอ่านได้ด้วยค่า  + เเบบฝึกหัดยงไม่เเน่ใจว่าข้อเขียนใช้ criteria วัดจากอะไรว่าถูกหรือผิด บางข้อพอเฉลยเเล้วก็เฉลยว่าให้ไปดูในบทถัดไป ตรงนี้เลยคิดว่าควรปรับตรงนี้นิดนึงค่า,neg,ไม่
211,คำถามพาร์ทท้าย ๆ ผมรู้สึกว่าเป็นคำถามที่ทำให้ผู้ตอบรู้สึกว่าตอบยากอะครับ เหมือนคำถามมันกว้างเกิน อยากให้ถามให้ละเอียดกว่านี้ครับ อย่างคำถามที่ผมเจอแล้วพอจำได้ก็คือคำถามที่ว่าเรากำลังพัฒนาภาพยนตร์อยู่ แล้วมีคำถามว่า พัฒนาโดยใช้วัสดุอะไร แบบนี้ตอบยากมากครับ ควรจะมีการเปลี่ยนคำถามให้เหมาะกว่านี้,neg,อยาก
221,quote ครูคือเยอะมาก เยอะเกิน เกี่ยวบ้างไม่เกี่ยวบ้าง เหมือนมานั่งแปลให้ฟัง,neg,ไม่
224,"เรียนมา 3 คอร์สแล้ว 
2 คอร์สหลังมีปัญหามากในการที่จะให้ขึ้น Progress 100% คอร์ส design thinking กลับไปเรียนซ้ำแล้ว ก็ยังไม่ขึ้น 100% อยากให้ปรับปรุงครับ",neg,อยาก
226,ควรรุ้เบื้องต้นเรื่อง Design Thinking มาคร่าวๆก่อนบ้าง,neg,แต่และอื่นๆ
230,สอนดีค่ะ ไม่ช้าไม่เร็วเกินไป พูดน่าฟัง เรามีพื้นฐานมาก่อนเลยไม่ยากมาก สุดยอดเลยค่ะ,neg,ไม่
232,สำหรับคนที่เริ่มต้นเพื่อเห็นให้ภาพเหมาะมากครับ,neg,แต่และอื่นๆ
236,ก็ดี เหมือนจะเข้าใจ แต่ก็ไม่เข้าใจ แถมในวิดีโอใช้เป็น os เลยทำให้งงบางนิดหน่อย,neg,แต่และอื่นๆ
237,อยากให้มี  certficate ครับ,neg,อยาก
239,หัวข้อ web server คลิปไม่ครบ,neg,ไม่
243,ตอนแรกก็คิดว่าจะได้ลูกเล่นที่เยอะกว่านี้ และ Tips แต่คือพวกนี้ผมเข้าใจหมดเลย เลยไม่ค่อยคุ้มเท่าไหร่ครับ แต่ก็สอนดีครับ,neg,แต่และอื่นๆ
245,บางตัวอย่างควรลงรายละเอียดมากกว่านี้ ยกตัวอย่างเช่น React Route/ Style Component ไม่มีตัวอย่างก่อนหน้าแล้วเข้าเนื้อหาทันที ทำให้ค่อนข้างงงและตามไม่ทัน,neg,ไม่
248,เนื้อหาดี แต่นำเสนอไม่ค่อยดีในช่วงแรก ๆ ไม่มีสรุปประเด็นปิดท้าย เหมือนเล่าให้ฟังไปเรื่อย ๆ ถ้ามีการ recap ของแต่ละบท ในบทแรก ๆ ก็ดีคับ,neg,แต่และอื่นๆ
250,การตั้งคำถามในแต่ละ quiz กำกวม และไม่ accurate,neg,ไม่
261,อยากได้คำใบ้ มากกว่านี้ ก่อนเฉลย ในบางข้อ,neg,แต่และอื่นๆ
274,เข้าในเรื่องการใข้ docker command มากขึ้น,neg,แต่และอื่นๆ
275,"workshop ยังมีปัญหา run บาง step แล้วยัง error, เข้าไปดูที webboard แล้วก็ยังไม่มี solution",neg,ไม่
279,แพงไปสำหรับพื้นฐานการเรียนรู้ที่ได้รับ คือแทบจะแบบอ่านเอาตาม doc หรือเว็บต่างๆ ก็มีครับ,neg,แต่และอื่นๆ
280,คอร์สนี้เป็นไปตสมที่คาดหวังไว้ที่เข้ามาเรียน แต่อาจด้วยพื้นฐานคอมของผมน้อยบางครั้งอาจตามเนื้อหาได้ช้าหน่อย หรือบางคำพูดซึงไม่แน่ใจเป็ฯศัพท์ทางเทคนิครึเปล่า ซึ่งผมที่มีพื้นฐานน้อยและห่างหายจากการทำงานไปนานจึงไม่ค่อยเข้าใจ อีกเรื่องคือบางครั้งทำคามที่ผู้สอนทำให้ดูไปด้วยในคลิป แต่ไม่ได้ save หน้าที่ทำไว้ เพราะอาจไม่ได้เปิดเรียนต่อเนื่องยาว ๆ ซึ่งผู้สอนทำตัวอย่างไว้หลายหน้า เวลาสอนอาจใช้เนื้อหาหน้านั้นหน้านี้ย้อนไปย้อนมา อีเรื่องคือบางครั้งทำแบบฝึกหัดแล้วเห็ฯเฉลยแล้วแต่ทำไม่ได้ตามที่เฉลย ถ้ามีอธิบายเพิ่มเติมว่าทำไงได้ผลิิกมาแบบนั้นก็ดีครับ เช่น demension ใช้ตัวไหนมาวางบ้าง ในส่วนของ Case study ช่วงสุดท้าย ก็อยากให้มีเฉลยแบบว่าใช้ตัวไหนมาวางบ้างทำอย่างไร เพราะบางครั้งทำแล้วผลลัพท์ไม่ได้ออกมาอย่างภาพที่ผู้สอนลงไว้เลยไม่รู้ว่าทำผิดในส่วนไหนขั้นตอนไหนกันแน่ครับ โดยรวมเป็ฯคอร์สที่ดีมาก,neg,ไม่
282,สำหรับผู้ที่มีพื้นฐานการทำ Dashboard มาแล้ว จะสามารถเข้าใจได้รวดเร็วเนื่องจาก Tool ไม่ซับซ้อนมาก ส่วนผู้ที่เริ่มศึกษาการใช้ Tool นี้เป็นตัวแรก อาจจะต้องทำความเข้าใจในส่วนของการเขียนสูตรให้ละเอียดขึ้น โดยรวมดีครับ แต่อยากให้มีเอกสารประกอบการสอนเป็น pdf ด้วย เผื่อเวลาลืมในบางเรื่อง สามารถกลับมาอ่านได้เลย ไม่ต้องมาย้อนดูวีดีโอใหม่,neg,อยาก
284,เป็นคอร์สที่ละเอียด สามารถเรียนรู้ได้ตั้งแต่ผู้ใช้ที่ไม่มีสกิล ไปจนถึง ผู้ใช้มีสกิลเบื้องต้นแล้ว ทั้งนี้ ได้มีการถามคำถามไป แต่ยังไม่มีการตอบกลับ จึงทำให้ยังไม่ทราบข้อมูลที่ชัดเจนว่าะจะต้องจัดการกับข้อมูลนั้นอย่างไร,neg,ไม่
287,"สอนดีตรงจุดที่ต้องการ
ควรเพิ่มตัวอย่างที่หลากหลาย
ควรเพิ่มเนื้อหาให้ตรงเวอร์ชั่นปัจจุบันของโปรแกรมด้วย",neg,แต่และอื่นๆ
303,กดตามแล้วมี error บ่อยครั้ง,neg,แต่และอื่นๆ
312,อาจจะเพราะเคยเรียนพวกพท้นฐานการใช้ sheet หลายๆ อันมาแล้ว บางอันก็รู้สึกว่าอยากไดลึกกว่านี้ค่ะ แบบการใช้average แบบอื่น เพราะคิดว่าคนทั่วไปอย่างน้อยชีวิตก็น่าจะเคยใช้คำสั่งaverage ธรรมดาครั้งนึงอยู่แล้ว อยากเรีียนลึกกว่านั้นบ้างค่ะ รวมถึงหลาย ๆ อย่างที่ยังไม่อัพเดตตอนนี้ pivot chart ย้ายไปอยู่ใน menu insert แล้วนะคะ แล้วก็อาจจะเพราะเคยเรีียนสถิติพื้นฐานมาแล้วคนที่เข้าใจเรื่องการเรียงข้อมูลเลยเขาใจพวก correlationได้ไม่ยาก สำหรับหนูที่เคยเรียนพื้นฐานมแล้วรู้สึกอยากเรียลึกกว่านี้ (อาจจะแค่คาดหวังเกินไป ลืมไปว่าอันนี้เป็นพื้ฐาน) แต่สำหรับคนที่ไม่เคยเรียนสถิติมาเลยอาจจะเข้าใจได้อยากในส่วนของการวิเคราะห์ 2 ตัวแปร น่าจะอธิบายละเอียดกว่านี้ เช่น ทำไมกราฟแบบนี้ถึงบ่งบอกว่ามันมีคสพกันมีการเอาข้อมูลดิบให้ดูแล้วplot ให้ดูจะให้คนเข้าใจและเห็นภาพมากขึ้นสำหรับเริ่มตั้งแต่พื้นฐาน เช่นให้ดูข้อมูลดิบก่อน ให้เขียนคำตอบว่าคิดว่ามมีคสพอย่างไร อันนึงยิ่งมาก อีกอันยิ่งมากใช่ไหม แล้วplot ให้ดูอะไรแบบนี้ค่ะ แล้วก็ไม่ยากให้แบบฝึกหัดมีให้ทำเหมือนตอนยกตัวอย่าง ให้ต่างแล้วมีเฉลยให้ดักว่าค่ะ ไม่งั้นดูสึกเห็นเฉลยตั้งแแต่แรก มันไม่ค่อยได้ประยุกต์,neg,อยาก
315,ชอบที่มีให้ทำด้วยตัวเองระหว่างทางมากค่ะ แต่อยากให้แบบบอกว่าhintอยู่ตรงไหนในแต่ละแบบฝึกเหมือนกันค่ะบางครั้งหาไม่เจอ ขอบคุณค่ะ,neg,อยาก
317,"เนื้อหา อาจจะมีการเปลี่ยนแปลงตามการ update ของโปรแกรมที่สอน 
เสียงแต่ละคลิปไม่เท่ากัน ต้องไปปรับระดับเสียงเอง
ภาพของอาารย์บ้างครั้งไปบังเนื้อหาที่สอน",neg,ไม่
319,เป็นคอร์สเริ่มต้นสำหรับผู้พื้นฐานไม่มากนัก ได้เป็นอย่างดี การบรรยายค่อนข้างละเอียดและแบบฝึกหัดไม่ยากเกินไปสามารถทำความเข้าใจแนวคิดได้,neg,ไม่
321,น่าจะมีเวลาในการทำ Project ส่งหรือเรียนให้ผู้เรียนมากกว่านี้ เนื่องจากคนเรียนส่วนใหญ่เป็นคนทำงาน ทำให้เวลาจำกัดมากเกินไป,neg,แต่และอื่นๆ
324,Exercise ตัว Google Sheet ค่อนข้างเล็ก ทำให้เวลาทำจะลำบากอยู่พอสมควร ถ้าใครใช้ Laptop ยิ่งเล็กยิ่งลำบาก เลยติดประเด็นนี้นิดนึงที่ทำให้เวลาทำ Exercise จะช้ากว่าปกติ,neg,แต่และอื่นๆ
331,ดีสำหรับผู้เริ่มต้นค่ะ แต่ถ้าใช้ Google Sheet อยู่แล้วอาจจะไม่ค่อย ว้าววว,neg,แต่และอื่นๆ
333,เหมือนเป็นอคอรส์ปูพื้นฐาน basic,neg,แต่และอื่นๆ
342,ปูพื้นฐานได้ดี หลังๆ ไปไว ถ้ารู้ ES5 มาก่อน หรือเคยเขียน Javascript มาก่อนน่าจะเข้าใจได้ดียิ่งขึ้น,neg,แต่และอื่นๆ
343,คอนเท้นท์เเละclassroom material ต่าง ๆ ค่อนข้างโอเค เเละเตรียมพร้อมมากเลยค่ะ เเต่อาจจะติดว่าตัว vdo บางตัวมีความยาวมากไปหน่อยตั้งเเต่ (เกิน 40 นาที) ก็อาจจะเเอบรู้สึกเหนื่อยเเล้ว ทำให้เรียนสองสามวันยังไม่จบสักที + ในส่วนของก่อนchapter ที่จะเข้ามาใน mid fi wireframe เเอบรู้สึกว่าจะมี chapter ที่หายไปคือตัวtools ของการสร้าง customer journey ในสินค้า ถ้ามีตรงนี้ด้วย เเล้วสามารถดึงมาใช้ในการร่างmid fi ได้เบยคืดว่าจะตอบโจทย์ขึ้นมาดกว่านี้เลยค่ะ + เเอบรู้สึกว่ามีช่วงเว้นจังหวะหายใจเเละการหยุดคิดค่อนข้างเยอะไปหน่อย อันนี้เลยคิดว่าการตัดต่อต่าง ๆ ควรมีช่องว่างน้อยกว่านี้ค่ะ เลยทำมห้เหมือนอาจารย์พูดช้า เเละช่วงที่มีการทำworkshop tools ที่empathize user อยากมห้เป็นการให้นักเรียนลองทำเองมากกว่าค่ะ ส่วนตัวคิดว่าถ้าเพิ่มเป็นหน้าขั้นในส่วนของ tools postit เข้าไปด้วย เหมือนกับคอรส์ design for innovation จะทำให้คนเรียนเข้าใจเเละรู้สึกinvolveไปกับหลักสูตรมากกว่านี้ค่ะ อันนี้พอเป็นสไลด์เเล้วรู้สึกเหมือนต้องไปเเยกทำเองเเละฟังพี่ ๆ เขา discussกันเอง,neg,แต่และอื่นๆ
345,สนุกมากๆ ตอนทำ UX tools มีแขกรับเชิญมาร่วม Brainstrom กันด้วยเหมือนได้อยู่ในบรรยากาศห้องเรียนสดจริงๆ เหมือนเรียนออนไลน์ในซูม ไม่น่าเบื่อเลย exercise ก็ไม่ยาก สนุก มือใหม่เรียนได้ แต่ถ้ามีความรู้พื้นฐานมาบ้างก็ต่อยอดได้ไวค่ะ,neg,ไม่
353,ไม่แน่ใจว่าระบบเป็นอะไร ดูวิดีโออยู่ก็ชอบค้าง ต้องคอย refresh หรือตอนจังหวะเลื่อนย้อนไปฟังวินาทีก่อนๆในคลิปเดิมจะค้างไปเลย,neg,ไม่
358,เนื้อหาแน่น แต่สิดีโอสามารถตัดให้กระชับได้มากกว่านี้ และบางบทเสียงที่อัดมันก้องสะท้อนมากไปหน่อย,neg,แต่และอื่นๆ
362,สอนดีค่า แต่อยากให้ลงรายละเอียดในเรื่องของresearchมากกว่านี้ค่ะแต่ภาพรวมโอเคค่ะ,neg,แต่และอื่นๆ
367,อยากให้มีตัวอย่างเพิ่มขึ้นสัก 1 อย่างค่ะ,neg,อยาก
369,ปูพื้นฐานได้ดี แต่ยังไม่มีคอร์สต่อยอด,neg,แต่และอื่นๆ
371,พื้นฐานเหมาะสมสำหรับผู้ที่กำลังจะเริ่มต้นตัดสินใจทำ Microservices มีอธิบายข้อดีข้อเสีย และข้อควรระวัง,neg,แต่และอื่นๆ
373,ทำให้เห็นภาพรวมของการทำ microservice แต่ถ้าเพิ่มเนื้อหาเรื่องวิธีการ develop ที่เนื้อหาน่าจะครบกว่านี้ครับ,neg,แต่และอื่นๆ
378,ฟังแล้วเข้าใจมากกว่าเดิมเยอะเลย ขอบคุณมากๆเลยค่ะ,neg,แต่และอื่นๆ
382,ได้แนวคิดในการนำเสนอเพิ่มพอควร,neg,แต่และอื่นๆ
383,ระบบการtrack สถานะการเรียนไม่ค่อยดี เรียนครบแล้วแต่ไม่นับว่าเรียนจบให้,neg,ไม่
384,อยากให้สอนทำการแยก ดึง .chunk ของน่าที่ใช้ที่ละหน้า หมายถึงย่อยไฟล์ .chunk แล้วเอามาใช้แค่น่าที่ใช้ครับเพราะมีปัญหาเรื่องนี้หนักมาก,neg,อยาก
387,ควรมีเนื้อหาให้อ่านเป็น sheet สรุป และควรแจ้งตั้งแต่ต้นว่า จะเรียนแล้วต้องทำอะไรต่อ อันนี้เรียนไปถามเพื่อนไปว่าเข้าใจเหมือนกันไหม,neg,แต่และอื่นๆ
389,"อยากให้มีไฟล์ข้อมูล PDF. ของคอร์สครับ
อยากให้มีตัวอย่างในมุมมองหลายๆ รูปแบบ                                                                                                                                                                                                                                                        ขอบคุณครับ",neg,อยาก
393,ระบบการtrack สถานะการเรียนไม่ค่อยดี เรียนครบแล้วแต่ไม่นับว่าเรียนจบให้,neg,ไม่
398,เป็นคอร์สเรียนที่ดี และมีคุณภาพมากค่ะ เนื้อหาที่สอนครอบคลุมในการเรียนสำหรับผู้ที่เริ่มเรียนพื้นฐานใหม่ แต่จะให้ดีควรมีการส่งการบ้านเพื่อให้ทางอาจารย์ หรือทีมงานไว้ปรึกษา และให้คำแนะนำก็จะดียิ่งกว่านี้ค่ะ,neg,แต่และอื่นๆ
416,ลงเรียนเหอะ ดีไม่ไหว,neg,ไม่
418,เป็นคอร์สปูพื้นฐานเรื่อง OOP ที่ต่างจากตำราที่เรียนกันในมหาวิทยาลัย จะเป็น OOP ที่ใช้ในการทำงานจริงๆ ถึงตัวอย่างโค้ดจะเป็นภาษา ts ที่ไม่เคยเขียนมาก่อน แต่ก็ทำให้ผู้เรียน concept ของ OOP ได้ง่ายขึ้น,neg,แต่และอื่นๆ
421,อธิบายได้เข้าใจมากๆครับ ตัวอย่างที่นำมาใช้คืออธิบายได้หมดเลย ไม่มีสงสัยเลยว่าทำไมถึงจริงทำอย่างนั้นๆ,neg,ไม่
425,เป็นคอร์สที่เหมาะมากๆสำหรับการเริ่มทำงานในบริษัท,neg,แต่และอื่นๆ
426,น่าจะขยายความเพิ่มเรื่อง Design Pattern อื่นๆ,neg,แต่และอื่นๆ
430,โดยรวมรู้สึกว่าโอเค แต่ไม่ได้มี insight พิเศษที่ unique to MAKE เท่าไหร่,neg,แต่และอื่นๆ
438,สนุก ถ้ามี beacon ทดสอบก็น่าจะสนุกขึ้น,neg,แต่และอื่นๆ
442,สอนเข้าใจง่านดีครับ,neg,แต่และอื่นๆ
450,ผมรู้สึกว่าถ้าเราไม่มีพื้นฐานของ mobile dev มาบ้าง รายละเอียดบางอย่างมันรู้สึกว่าอธิบายควบไป คือ ต้องอารมณ์แบบไปแอบศึกษามาเล็กน้อยก่อนถึงจะพอฟังรู้เรื่องและเข้าใจ ถ้าแบบใหม่ๆ เริ่มจาก 0 ไม่มีทักษาะ programming มาเลยอาจจะต้องใช้เวลาเรียนรู้เพิ่มนิดนึง feel แบบลอกการบ้านและค่อยทำคว่มเข้าใจ,neg,ไม่
451,เป็นคอร์สที่ทำให้ผู้เรียนเข้าใจการเขียนภาษา Kotlin ได้อย่างรวดเร็ว ผู้สอนสอนได้เข้าใจดีครับ มี colab ควบคู่ไปด้วยแต่ละบททำให้ได้ฝึกลองเขียนภาษา Kotlin ไปพร้อมกับบทเรียนแต่ละบทครับ,neg,แต่และอื่นๆ
452,เป็นคอร์สที่มีความเป็นพื้นฐานมาก ๆ แต่ในความพื้นฐานของมัน ก็ยังมีบางเรื่องที่ขนาดคนที่เคยเขียน Kotlin มาก่อน ยังเพิ่งมาเข้าใจจากบทเรียนนี้อยู่เลย,neg,แต่และอื่นๆ
454,รวมๆถือว่าเนื้อหาที่ต้องรู้ครบถ้วน แต่อาจจะต้องไปศึกษาเองเพิ่มเติมตาม link ที่แนบไว้ รวมไปถึงบางเรื่องไม่ได้ลงรายละเอียดมากขนาดนั้น,neg,แต่และอื่นๆ
458,ให้ความรู้พื้นฐาน เพื่อนำไปใช้ และเรียนรู้เพิ่มเติมต่อ,neg,แต่และอื่นๆ
461,บางตัวอย่างไม่อธิบาย พอทำแบบทดสอบเลยจะไม่เข้าใจ ไม่รู้จะตอบว่าอะไร อยากให้อธิบายเรื่อง บวก ลบ คูณ หาร เรื่องตัวเลข ให้ละเอียดกว่านี้,neg,ไม่
468,เริ่มต้นสำหรับใครที่ไม่ได้รู้ภาษาKotlinมาก่อน,neg,ไม่
473,อยากให้มีคอร์สที่เน้นเรื่องการวิเคราะห์ข้อมูลที่ลงลึกมากกว่านี้ค่ะ เพราะที่คาดหวังไว้คือบทเรียนในส่วนของการวิเคราะห์ด้วยเทคนิคต่างๆ แต่การสอนเรื่องเครื่องมือก็โอเคค่ะ,neg,อยาก
475,เป็นคอร์สที่สอนได้ครบถ้วนสำหรับเครื่องมือพื้นฐานในการใช้ excel วิเคราะห์ข้อมูลเบื้องต้น เนื้อหาอัดแน่นอยู่ครับ แต่มีประโยชน์มากๆ,neg,แต่และอื่นๆ
476,เหมาะกับคนที่ไม่มีพื้นฐาน Excel มากครับ และเมื่อเรียนแล้วยังได้หลักการแปลข้อมูลเบื้องต้น นับเป็นจุดเริ่มต้นที่ดีครับ,neg,ไม่
484,มีสูตรและวิธีคิดดีๆ เกินกว่าที่คิดไว้มาก และคิดว่าจะเรียนซ้ำเพื่อทบทวนอีกแน่นอน,neg,แต่และอื่นๆ
489,"มีลูกเล่นในการสอนใช้สูตรfunction กว่าที่อื่นๆ
อยากให้มีตัวอย่างที่เหมาะไปปรับใช้ในการทำงานจริงมากขึ้น",neg,อยาก
490,คอร์สดีค่ะ แต่ว่าเวลามีคำถาม หาที่ถามได้ยากมาก การบ้านทำไม่ได้ก็ไม่รู็จะถามใครดี ตั้งกระทู้ไปก็ไม่มีใครตอบ คุยกับBot Botก็ไม่รู้เรื่อง ถ้าทีมงานเห็นรีวิว กรุณาช่วยเหลือหน่อยนะคะ,neg,ไม่
