,comments,target
59,เป็นคอร์สที่เหมาะสำหรับผู้เริ่มต้นเรียนรู้และฝึกทักษะการเขียน SQL เนื้อหาโดยรวมรวบรัดและเหมาะสมดีครับ สนุกกับการลองเขียนโค้ด(แบบฝึกหัด) ในแต่ละบทเรียน ผิดบ้างถูกบ้าง แต่ก็ทำให้สนใจอยากเรียนรู้และฝึกเขียนต่อครับ,pos
60,เนื้อหา และ ตัวอย่าง ดีกว่าคอร์ส SQL อื่นๆ ที่เคยเรียนมา เหมือนตั้งใจแบบว่าให้เรียนแล้วสามารถนำไปใช้ได้เลย,pos
61,"เข้าใจง่าย นำไปใช้ต่อได้จริง
ข้อความมีผิดอยู่บ้าง แต่เป็นในแง่ตัวสะกดต่าง ๆ ยังไม่กระทบต่อเนื้อหาหลัก",pos
62,ยากเหมือนกันในการเขียนโปรแกรม SQL ซึ่งต้องใช้เวลาฝึกฝนบ่อยๆ ถึงจะเกิดความชำนาญและจำSyntax ต่างๆได้,pos
63,ดร.ต้าสอนดี ใช้ภาษาที่ง่าย เครื่องมือแบบฝึกหัดทำใด้ดี เหมาะกับคนไม่มีพื้นฐานมาก่อน แนะนำค่ะ,pos
64,ได้เรียนรู้เกี่ยวกับพื้นฐานทั้งหมดเลยครับ สามารถเริ่มต้นจาก 0 จนถึงการใช้งานแบบจริงๆได้,pos
65,เหมาะกับผู้ที่ต้องการเข้าใจพื้นฐานการเขียน SQL เพื่อนำไปศึกษาต่อเพิ่มเติม,pos
66,อยากให้เห็น TABLE ก่อนที่จะมาทำ กรองก่อนเสมอจะได้รู้ว่า output จากสิ่งที่ทำต่างกันอย่างไร ซึ่งถ้าปกติมาให้ query ตมโจทย์เลยอาจจะไม่เห็นภาพมากนักเท่าไหร่,neg
67,คิดว่า ยากเกินไปค่ะ แต่พยายามจะเข้าใจในบทเรียนนะคะ,neg
68,สอนเข้าใจง่าย มีระบบให้ได้ลองทำ ทำให้เข้าใจและทำได้จริงง่ายขึ้นกว่าเดิมครับ,pos
69,เป็นคอร์สเรียนที่เหมาะกับการทำงานในปัจจุบันมาก,pos
70,หัวข้อของบทเรียนดีมากครับ คาดว่าน่าจะได้นำไปใช้ในการทำงาน,pos
71,ให้กำลัังใจดีมากครับ กำลังจะท้อแล้วเชียวว,pos
72,ยากจัง ต้องดูซ้ำๆหลายๆรอบ,neg
73,เป็นคอสที่ดีครับ,pos
74,ดีมากค่ะ,pos
75,ตอบโจทย์เรื่องการปูพื้นฐานสำหรับผู้เริ่มต้นใช้งาน Power BI มากเลยครับ ชอบส่วนที่เป็นแบบฝึกหัดที่มีเพื่อให้เราได้กลับไปฉุกคิด และทบทวนบทเรียนที่ผ่านมา ถ้าให้ดีอาจจะมีส่วนที่เป็นโปรเจ็คเพิ่มเติม ผมคิดว่าน่าจะได้ลองนำไปใช้ดูนะครับ,pos
76,อธิบายละเอียด และค่อยเป็นค่อยไปดีมากครับ แนะนำเลยครับสำหรับคนเริ่มต้น ถ้าใครเรียนคอร์ส Excel มาก่อนด้วยก็จะดีครับ เพราะสองโปรแกรมนี้มักเชื่อมโยงกัน และจะเห็นภาพมากขึ้นเมื่อเรียน Power Bi,pos
77,เป็นคอร์สสอน Powe BI ที่ทำให้รู้สึกว่าการเริ่มใช้งาน Power BI ไม่ได้ยากอย่างที่คิด และทำให้รู้สึกว่าสามารถนำไปต่อยอดได้ง่ายมากขึ้น,pos
78,ดีมากครับ  เหมาะสำหรับผู้เริ่มต้นสนใจ ทำ Data Visualization โดยใช้ Power BI  หรือคนที่อยากทบทวนความรู้พื้นฐาน  ให้ฐานแน่นขึ้น,pos
79,เป็นคอร์สที่ดีมาก ละเอียด มีประโยชน์กับคนที่ทำงานแล้วใช้ Power BI อยู่แล้วจะดีมากๆเพราะสามารถต่อยอดได้,pos
80,เป็นครอสสอนการใช้งาน Power BI ในระดับเริ่มต้นได้อย่างครอบคลุมและง่ายต่อการที่เริ่มเรียนรู้อะไรใหม่ๆ,pos
81,เหมาะกับคนที่ไม่มีพื้นฐานด้าน BI มาก่อน ก็สามารถเข้าใจได้ง่าย อธิบายฟังก์ชันการใช้งานต่างๆครบถ้วน,pos
82,เป็นไปตามขั้นตอนที่ควรจะเรียนรู้ โดยเริ่มจากเครื่องมือที่ต้องใช้ ไปจนถึงวิธีคิดที่จะได้ผลลัพธ์,pos
83,เป็นคอร์สที่สอนตั้งแต่เริ่มต้นติดตั้งโปรแกรมและอธิบายเครื่องมือต่างๆ อย่างละเอียด พร้อมกับมีไฟล์ให้ฝึกฝนเพื่อความเข้าใจ และมีประโยชน์มากค่ะ,pos
84,สามารถapply สิ่งที่เรียนไปใช้ได้จริงเกิดประโยชน์มากในการช่วยวิเคราะห์ข้อมูลปริมาณมากๆ,pos
85,มีประโยชน์สำหรับมือใหม่ หรือผู้เริ่มต้นเรียนเป็นอย่างมาก เนื้อหาและการสอนที่เข้าใจง่าย นำไปสู่การใช้ประโยชน์ได้ดีเลยทีเดียว,pos
86,เหมาะกับคนเริ่มต้น จะ ถึงขึ้นที่เริ่มทำ วิเคราะห์ข้อมูลได้ ดี,pos
87,เหมาะสำหรับคนที่ต้องการพื้นฐานการใช้งาน ง่ายต่อการนำไปต่อยอด,pos
88,สอนให้รู้จักการใช้งาน tools ต่างๆได้ดีและเข้าใจง่าย จะดียิ่งขึ้นถ้าหากนำเสนอให้ tools ต่างๆที่สอน สามารถนำไปใช้หา insights ที่ซ่อนอยู่ของข้อมูลตัวอย่างได้จริง,neg
89,บางทีในส่วนของช่วงเเรกที่ให้ทำตาม อยากให้บอกจุดประสงค์ของการทำสิ่งๆ นั้นก่อนค่ะ ถ้ากดๆ ตามอย่างเดียวมันไม่รู้ว่าเอาไปทำเพื่ออะไร เเล้วมันต่อยอดลำบากค่ะ,neg
90,ได้ทราบเทคนิคต่าง ๆ นำมาปรับใช้ในงาน ได้ประโยชน์มากค่ะ,pos
91,แนะนำให้เรื่อง เข้าใจงาน มีตัวอย่างให้ทดลองทำ เพื่อไปปรับใช้กับงานปัจจุบันที่ทำอยู่,pos
92,สอนการใช้งานโปรแกรมได้ครอบคลุมมากค่ะ นำไปใช้ได้จริง,pos
93,สั้น กระชับ ดีมาก คาดว่าสามารถนำไปทำแดชบอร์ดได้จริง,pos
94,เหมาะสำหรับคนที่อยากเข้าใจพื้นฐานการใช้งานเบื้องต้น โดยที่ไม่มีความรู้มาก่อน,pos
95,ดีค่ะ แต่พอนั่งดูเฉย ๆ แล้วทำให้ลืมง่าย ถ้ามีโอกาสปฏิบัติตามด้วยจะดีมาก,pos
96,คือเนื้อหาดีมาก แต่ฝึกทำตามลำบาก ไม่คุ้นเคยกับโปรแกรม เรียนรู้ช้า แต่ยอมรับว่าเนื้อหามีประโยชน์สำหรับผู้ที่ฝึกใช้ได้บ่อย ๆ,neg
97,เป็นโปรแกรมที่มีรายละเอียดมาก และผู้สอนสอนเร็วในระยะเวลาจำกัด เนื้อหาจึงรวบรัด นำไปใช้ได้ในระดับเบื้องต้น,neg
98,ตอบคำถามช้า 3 วันแล้วยังไม่ได้คำตอบเลย,pos
99,เป็นหบักสูตรที่ดี ได้ค้นหา รวบรวมและวิเคราะห์ข้อมูล,pos
100,ถ้าต้องการเน้นพื้นฐาน แนะนำให้เรียนคอร์สนี้เลยครับ,pos
101,เนื้อหาน้อยเกินไป สำหรับที่จะนำไปใช้งานได้จริง สำหรับคนที่เริ่มต้น,neg
102,ดีแต่อาจจะเนื่อยๆหน่อย,pos
103,อยากให้เพิ่มคำอธิบายให้ละเอียดขึ้น,pos
104,คอร์สเขียนเรียน4ถึง6ชั่วโมง เวลาเรียนจริงประมาณ2ชั่วโมง,neg
105,กดฟังเปลี่ยนคลิปบ่อยเกินไป,pos
106,โดยส่วนตัวมองว่า ทักษะการนำเสนอเเละสื่อสารของผูัสอนยังคงขาดรายละเอียดที่จะสามารถดึงดูดความสนใจของผู้เรียนให้สนใจการเรียนในคอร์สนี้ เสียงตลอดกหารสอนเป็นโทนเดียวกันทั้งหมด ทำให้ค่อนข้างขาดความน่าสนใจ เเละเนื้อหาที่สอนค่อนข้างวนไปมา ทำให้ผู้เรียนรู้สึกสับสนบ้างในบางครั้ง เนื่องจากการเรียงลำดับเนื้อหายังไม่ดีมากพอ เมื่อเทียบกับผู้สอน/คอร์สอื่น ๆ ที่มีความใกล้เคียงกัน,neg
107,คนสอน สอนเข้าใจยาก เหมือนท่องหนังสือมาสอน อ่านหนังสือเองแล้วทำตามเองอาจจะเขช้าใจง่ายกว่าอีก,neg
108,สุดยอดมากๆค่ะ,pos
109,เข้าใจง่ายละเอียดดี,pos
110,น่าเรียนมาก,pos
111,เข้าใจง่าย,pos
112,Good,pos
113,4,pos
114,อาจารย์ช่วยเปิดมุมมองการนำข้อมูลมาเป็นส่วนหนึ่งของการออกแบบผลิตภัณฑ์ รวมถึงแชร์ประสบการณ์จริง ทำให้เห็นภาพของการทำงานร่วมกันหลายฝ่าย ข้อดีและข้อควรระวังของการใช้ข้อมูล,pos
115,สั้นกระชับดี อยากให้เพิ่ม bonus section มี case study อื่นๆมากกว่านี้  / อยากให้มี cheat sheet checklist สรุป ไว้ทบทวน,pos
116,ได้ความรู้เพื่มเติมเกี่ยวกับ UX researcher รวมทั้งภาพประกอบที่ทำให้เห็นถาพมากขึ้น,pos
117,เป็นคอร์สที่ทำให้คนที่ไม่ได้เรียนสายนี้ได้เห็นอะไรใหม่ๆ มีมุมมองที่กว้างขึ้นค่ะ,pos
118,เหมาะสำหรับผู้เริ่มต้นหรือผู้ที่สงสัยว่าศาสตร์นี้คืออะไร ทำงานยังไง,pos
119,ได้ความรู้แน่นมาก เป็นประโยชน์ต่อการนำไปปรับใช้ในอนาคตได้,pos
120,ได้ทราบแนวคิดการนำ data ไปใช้วิเคราะห์ในสถานการณ์จริง,pos
121,สรุปได้ดีเยี่ยม เข้าใจง่าย นำไปปรับใช้ได้ดี,pos
122,สอนทีละสั้นๆ ใช้เวลาไม่นาน เห็นภาพชัดเจน,pos
123,ทำคอร์สดีๆแบบนี้อีกนะคะ รอติดตามนะคะ,pos
124,เป็นประโยชน์มากได้เข้าใจข้อมูลมากขึ้น,pos
125,ไม่ได้สอนจริงๆ เหมือนแค่มาบอกว่ามีแบบนี้นะๆ,neg
126,สนุก น่าสนใจ,pos
127,ดีมากกกกเลย,pos
128,ระบบเน็ตแย่มาก,neg
129,5 ดาว,pos
130,"เนื้อหาดีเข้าใจง่าย มีแบ่งเป็นคลิปให้สามารถดูได้ว่าถึงไหนแล้ว มี peer pressure จาก % ที่เรียนไปถึงไหน 55555

แต่อยากเพิ่มเติมว่า อยากให้อัพเดท example หน่อยค่ะ เพราะแค่ของ fb ตอนนี้ interface ก็ไปไกลมากแล้ว อยากให้อัพหน่อย เพราะปัจจุบันก็มีเคสน่าสนใจเกิดขึ้นเพิ่มค่า ขอบคุณมากค่ะ",pos
131,อาจารย์บรรยายดี ไม่น่าเบื่อ มีการเเบ่งหัวข้อชัดเเจนเเละมีการทำGoalsให้เราProactiveเรื่อยๆ เป็นกันเองมากๆเเม้จะเป็นการเรียนออนไลน์ เเนะนำมากๆค่า,pos
132,best introduction to data science with overview and example which are easy to follow and get the  whole idea of data science,pos
133,ใครยังไม่รู้ว่า DATA SCIENCE คืออะไร เค้าทำงานยังไง คอร์สนี้บอก SCOPE ของงานได้ชัดเจน ตัวอย่างเยอะมากๆ เข้าใจง่ายค่ะ,pos
134,ช่วยปูพื้นฐานความเข้าใจเรื่อง data science ได้ดีมากครับ เหมาะสำหรับคนที่อาจจะอยากรู้จักงาน data science ให้มากขึ้น,pos
135,Data Scientist ไม่ใช่วิชายาก หรือไกลตัว ถ้าอยู่ในยุคการทำงานปัจจุบัน 2022 เข้าใจ และตอบโจทย์การทำงานปัจจุบันได้ดี,pos
136,Slide อ่านง่าย เข้าใจง่าย อ.วิโรจน์พูดชัดเจนไม่สะดุด แบ่งหัวเรื่องและ Timestamp ชัดเจน ง่ายต่อการกดดูกลับไปกลับมา,pos
137,เป็นการปูพื้นของการเป็น data scientist ที่ดีเลยครับ สำหรับใครที่กำลังจะเข้ามาด้านนี้ คอร์สนี้ถือว่าเหมาะเลยครับ,pos
138,เหมาะสำหรับคนที่อยากรู้ว่า Data science คืออะไร งานที่ทำคืออะไร ทำอะไรให้บริษัทได้บ้าง ถ้ารู้อยู่แล้ว แต่อยากรู้ว่าเริ่มทำยังไง 1 2 3 อันนี้ไม่เหมาะ,pos
139,ชอบอาจารย์วิธีการสอนของอาจารย์ต้ามากครับ ทุกๆครั้งจะมีการสรุปปิดท้ายทำให้เข้าใจแบบจริงๆ,pos
140,เนื้อหาเข้าใจง่าย และวิธีการแบ่งแต่ละ section ดีมาก เพราะทำให้รู้สึกว่าไม่เยอะเกินไป,pos
141,คอร์สดี แต่เพื่อความเชี่ยวชาญ ต้องทบทวนหรือฟังหลายๆรอบและลองทำจริงถ้ามีโอกาส,pos
142,เป็นการทำความรู้จัก Data Science เบื้องต้น เหมาะสำหรับคนที่ไม่เคยมีความรู้มาก่อน เพื่อมาเรียนรู้แนวคิดหลักๆของศาสตร์นี้ ไม่เหมาะกับผู้มีพื้นฐาน หรือคาดหวังว่าจะได้เรียนรู้การวิเคราะห์ข้อมูลแบบเป็นรูปธรรม,neg
143,ได้รู้ในสิ่งที่ยังไม่เคยรู้จักมาก่อน เป็นการเปิดประสบการณ์ใหม่มาก👍🏻,pos
144,ได้เข้าใจมุมมองที่กว้างและครอบคลุมมากขึ้นสำหรับ data scientist และส่วนประกอบที่เกี่ยวข้องอื่น ๆ มากขึ้น,pos
145,มีตัวอย่างประกอบเนื้อหา ทำให้สามารถเห็นภาพ และเข้าใจได้ง่ายขึ้นค่ะ,pos
146,ช่วยให้มองภาพรวมของการทำงานเป็น Data Scientist ได้ชัดเจนขึ้นมาก,pos
147,ได้เห็นภาพรวมของ ประโยชน์ของ Data และการนำไปใช้ ของ Data Science,pos
148,"อยากดูตัวอย่างการทำงานจริงของ data science แล้ว tool ที่ใช้
กับบริษัทในไทย หรือ simulate company มา",pos
149,คอร์สดีครับ ทำให้เข้าใจภาพรวมของ data science process มากขึ้น,pos
150,ได้แนวคิด และการจัดการขั้นตอนกระบวนการ การวิเคราะห์ข้อมูล,pos
151,ฮธิบาย ยกตัวอย่าง จากสิ่งที่เข้าใจยาก ให้เข้าใจง่ายขึ้น,pos
152,ถ้าต้องการเป็น Data Sci ยังไงก็ต้องคอร์สนี้เลย ปูทาง,pos
153,สามารถนำความรู้ไปประยุกต์ใช้กับงานที่ปฏิบัติอยู่ได้,pos
154,เข้าใจบทบาทของ Data Science มากกว่าที่เคยรู้มาอีก,pos
155,เป็นการเปิดมุมมองใหม่ด้าน data science ที่ดีครับ,pos
156,คอร์สนี้อธิบายให้เห็นภาพและเข้าใจง่ายมากครับ,pos
157,เข้าใจง่าย เหมาะกับคนที่ยังไม่ค่อยมีความรู้ว่า Data Science คืออะไร,pos
158,คอร์สออนไลน์นี้ดีมากๆ ได้ความรู้เพิ่มเติม,pos
159,ได้แนวทางใหม่ๆเยอะ ดูมีแนวโน้มในอนาคตด้วย,pos
160,ทำให้เห็นภาพ Data worker มากขึ้นครับ,pos
161,ให้ข้อมูลและความรู้ที่เห็นภาพชัดเจน,pos
162,แนะนำพื้นฐานได้ครอบคลุม แต่ว่าตัวอย่างแอบเก่าไปนิดนึงๆ,pos
163,สอนเข้าใจง่าย คลิปไม่ยาว กำลังพอดี,pos
164,ภาพรวม ok อยากให้เพิ่มตัวอย่าง update สำหรับ ปัจจุบัน,pos
165,ได้รับความรู้ดี สรุปเห็นภาพของ Data science ได้ชัดเจน,pos
166,ได้ทำความความเข้าใจเบื้องต้นเกี่ยวกับ data science,pos
167,คิดว่าพื้นฐานเกินไป แต่มีข้อมูลดีๆอยู่บ้าง เช่น process การทำงาน หรือพูดเกี่ยวกับ metric,neg
168,ให้เห็นภาพกว้างของ Data science,pos
169,ดีขึ้นได้มีการแนะนำในด้านต่างๆ,pos
170,เนื้อหาชัดเจน เข้าใจง่ายดีค่ะ,pos
171,เข้าใจ Data Science มากขึ้นแต่ยังไม่เต็มอิ่ม,pos
172,เข้าใจง่าย เรียนสะดวกสบายมาก,pos
173,กระชับ เข้าใจง่าย บรรยายดี,pos
174,ให้ความรู้ชัดเจนดีมากครับ,pos
175,หลักการเรียนดีเกินคาดมาก,pos
176,อธิบายชัดเจน เข้าใจง่าย,pos
177,ได้รับความรู้เยอะมากค่ะ,pos
178,เปิดโลกให้ตัวเองได้เลย,pos
179,คอร์สนี้ทำให้ได้เรียนรู้ได้มาก นำไปใช้ในชีวิตประจำวันได้เลยคะ,neg
180,ดีมากพูดเนื้อหาได้ดี,pos
181,ได้ความรู้เยอะมากกก,pos
182,ลองมาเรียนค่ะ เปิดโลกดี,pos
183,เข้าใจง่ายไม่ซับซ้อน,pos
184,Can improve,pos
185,Goodddd,pos
186,5ดาว,pos
187,ดี,pos
188,คอร์สนี้สอนให้เข้าใจหลักการเบื้องต้นในการทำ Dashboard ที่ดี เข้าใจง่าย ตรงกับความต้องการของ User ช่วยปูพื้นฐานที่ดีสำหรับการเรียนรู้การใช้ Tools ต่างๆในการทำ Dashboard เช่น Power BI ต่อไป  และเช่นเคยครับ จังหวะ และวิธีการอธิบายของอาจารย์ ทำให้เข้าใจเนื้อหา รวมทั้งเหตุผล ที่มาที่ไปของเรื่องที่เรียน ชอบครับ,pos
189,โดยรวมก็โอเคนะ รู้สึกหลายอย่างมันcommon sense เคสที่นำมาให้ดูก็น่าสนใจ แต่รู้สึกว่าคอร์สนี้ไม่ค่อยมีinteraction เลยทำให้เนื้อหาใหม่ค่อยติดอยู่ในหัวเท่าไหร่ เวลากลับมาดูก็เข้าใจ แต่ไม่ค่อยมีจุดไหนที่stand outและทำให้recallให้เอาไปใช้ในสถานการณ์จริง quizรู้สึกง่ายไป เหมือนlistening comprehensionมากกว่าการที่จะต้องมาคิดวิเคราะห์คำตอบ โดยร่วมเป็นคอร์สที่relaxดีแต่ถ้าเกิดพูดเรื่องvalueที่ได้กลับมา อาจรู้สึกว่าความรู้ก่อนเรียนกับหลังเรียนไม่ได้มีการupskillมากนัก,neg
190,ทำให้เข้าใจในการออกแบบทำกราฟมากขึ้นกว่าเดิมเปลี่ยนมุมมองการทำกราฟแบบเดิมๆทำให้เข้าใจว่าคำถามที่เราคิดขึ้นมาควรใช้กราฟแบบไหนในการตอบคำถามของเรา,pos
191,เข้าใจมากขึ้นสำหรับความแตกต่างของการเลือกใช้ รูปแบบต่าง ๆ ในการนำเสนอผลการวิเคราะห์ข้อมูล ที่ทำให้ผู้อ่านเข้าใจถูกต้อง,pos
192,อธิบายและยกตัวอย่างเข้าใจง่ายมากๆ การแบ่งคลิปเป็น session เล็กๆทำให้ข้อมูลไม่ overload มากเกินไป แต่อยากให้ผู้สอนแชร์ Handout เพื่อจะได้จดสรุปง่ายและเห็นตัวอย่างชัดเจนขึ้น,pos
193,"ได้เห็นไอเดียว่าควรทำอย่างไรบ้างตั้งแต่เริ่ม get requirement 
สิ่งที่อยากให้มีเพิ่มคืออยากให้สามารถ download presentation ได้ และอยากให้มีโจทย์ให้คิดมากกว่านี้",pos
194,เห็นภาพ framework ในการทำ dashboard ได้ชัดเจนและได้ key word ในการหาความรู้ด้วยตัวเองต่อไปได้,pos
195,อธิบายได้เข้าใจง่าย พร้อมประกอบการยกตัวอย่าง คนไม่มีพื้นฐานก็สามารถเรียนได้เข้าใจ,pos
